title,filename,category,folder,authorship,content_type,description,size_mb,confidence,source_path,dest_path,status
7 Traits Uncommon People Share Which Lead Them to Achieve Their Goals,7 Traits Uncommon People Share Which Lead Them to Achieve Their Goals.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,article or PLR content,"A self-help article or guide focusing on success traits and goal achievement, written in a motivational style typical of business/personal development content.",0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/03-Branding/01-Articles/03-pages/7 Traits Uncommon People Share Which Lead Them to Achieve Their Goals.pages,,DUPLICATE_SKIPPED
7FC Training Week 1,7fc-training-week1-Feb2 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,training materials/presentation slides,"This appears to be training presentation slides or materials for a business course focused on selling on Amazon, dated February 2, 2018, with references to removing obstacles and getting started with ",33.63,MEDIUM,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Full-Time FBA/TWF Training/7FC Folder/7fc-training-week1-Feb2 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/7fc-training-week1-Feb2 (2019_07_29 16_12_18 UTC).pdf,COPIED
8 Ways Uncommon People Stand Out at Work,8 Ways Uncommon People Stand Out at Work.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,"Unknown (could be book, article, or other)",Cannot determine without seeing the actual content of the document,0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/03-Branding/01-Articles/03-pages/8 Ways Uncommon People Stand Out at Work.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/8 Ways Uncommon People Stand Out at Work.pages,COPIED
A Change of Scenery Can Help You Trust Once More,A Change of Scenery Can Help You Trust Once More.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (cannot determine without content),Cannot provide description without access to the actual document content,0.8,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/TrustAgain/03-Branding/01-Articles/03-pages/A Change of Scenery Can Help You Trust Once More.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/A Change of Scenery Can Help You Trust Once More.pages,COPIED
A Change of Scenery Can Help You Trust Once More,A Change of Scenery Can Help You Trust Once More.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine content or authorship without access to the actual document text.,0.8,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/TrustAgain/03-Branding/01-Articles/03-pages/A Change of Scenery Can Help You Trust Once More.pages,,DUPLICATE_SKIPPED
A Girl Named Betsy,A Girl Named Betsy.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,Unable to determine content from the provided sample as it only shows blank pages and what appears to be a title page without visible text content.,7.5,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/A Girl Named Betsy.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/A Girl Named Betsy.pdf,COPIED
A Life That Matters: Lessons from a Digital Grandpa on Building Something Real,A-Life-That-Matters.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A self-help book about living authentically without compromise, written by someone identifying as ""Robert 'Digital Grandpa' Burr"" who shares life lessons from seven decades of experience about breakin",47.33,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/A-Life-That-Matters.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/A-Life-That-Matters.pdf,COPIED
A Season of Rose,A Season of Rose.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"The content appears to be blank pages from what seems to be a PDF file titled ""A Season of Rose,"" with no visible text content in the first 5 pages provided.",37.67,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/A Season of Rose.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/A Season of Rose.pdf,COPIED
AI for Productivity,AI for Productivity - Book.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,Cannot determine without seeing actual content. The title suggests a book about using AI for productivity enhancement.,1.15,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/22 High-Impact AI Video Courses/AI Productivity Powerhouse/AI for Productivity/AI for Productivity - Book.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/AI for Productivity - Book.docx,COPIED
Alternative Health Options to Work with Social Anxiety,Alternative Health Options to Work with Social Anxiety.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (possibly book or guide),Unable to determine without viewing the actual content; appears to be about alternative health approaches for social anxiety based on the title.,1.83,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Butterflies/02-LeadGen/01-Lead Gen Report/Alternative Health Options to Work with Social Anxiety.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Alternative Health Options to Work with Social Anxiety.pages,COPIED
An Uncommon Life,An Uncommon Life.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze content without access to the actual text within the .pages file.,1.12,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/02-LeadGen/01-Lead Gen Report/An Uncommon Life.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/An Uncommon Life.pages,COPIED
Anxiety Is an Emotional Response That Can Be Treated with Your 5 Senses,Anxiety Is an Emotional Response That Can Be Treated with Your 5 Senses.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A self-help book about managing anxiety through sensory-based techniques, potentially incorporating recovery and faith-based perspectives.",0.77,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/BUNDLEReducingAnxiety 2/02-Articles/2-Pages/Anxiety Is an Emotional Response That Can Be Treated with Your 5 Senses.pages,,DUPLICATE_SKIPPED
Are Creativity and Innovation the Same Thing,Are Creativity and Innovation the Same Thing.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,article,"An article or essay exploring the differences and relationships between creativity and innovation, likely from a business or entrepreneurial perspective.",0.8,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/BUNDLEBecomeMoreInnovative/02-Articles/2-Pages/Are Creativity and Innovation the Same Thing.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Are Creativity and Innovation the Same Thing.pages,COPIED
Avoidance,Avoidance.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to determine without access to document content.,0.86,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Avoidance/01-Premium/01-eBook/Avoidance.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Avoidance.pages,COPIED
Bartholomew R. Scott Intro,Bartholomew R. Scott Intro - 5-13-19 (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without access to file content,20.83,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/Downloads/Bartholomew R. Scott Intro - 5-13-19 (2019_07_29 16_12_18 UTC).pages,,DUPLICATE_SKIPPED
Bartholomew R. Scott Intro,Bartholomew R. Scott Intro - 5-13-19 (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without access to the actual content of the document,20.83,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Delano Folder/Bartholomew R. Scott Intro - 5-13-19 (2019_07_29 16_12_18 UTC).pages,,DUPLICATE_SKIPPED
Beneath the Northern Breeze.pdf,Beneath the Northern Breeze.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"Unable to determine content or authorship from the provided sample, which only shows a title page without author attribution or any actual content from the book.",10.6,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Beneath the Northern Breeze.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Beneath the Northern Breeze.pdf,COPIED
Beyond Talent - How a Growth Mindset Amplifies Potential,Beyond Talent - How a Growth Mindset Amplifies Potential.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"Appears to be a book about growth mindset and personal development, which could align with Bob Burr's entrepreneurship and self-improvement themes, but cannot confirm without seeing the actual content",0.77,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/SHAREABLEDevelopingAGrowthMindset/01-BlogPosts/03-PAGES/Beyond Talent - How a Growth Mindset Amplifies Potential.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Beyond Talent - How a Growth Mindset Amplifies Potential.pages,COPIED
Bob's E+C Test Results,Bob's E+C Test Results (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other (test results document),"This appears to be a document containing test results dated July 29, 2019, possibly related to educational or assessment testing rather than a book or article.",4.05,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Bob's E+C Test Results (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bob's E+C Test Results (2019_07_29 16_12_18 UTC).pdf,COPIED
Bob's Vet,Bob's Vet (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (insufficient information),"Unable to determine content or authorship from filename alone - could be a book about veterinary experiences, recovery-related content, or something else entirely.",15.97,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's Vet (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bob's Vet (2019_07_29 16_12_18 UTC).pdf,COPIED
Bob's Vet 2,Bob's Vet 2 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"Appears to be a second volume or sequel related to veterinary content, though without seeing the actual content, it's difficult to determine if this aligns with Bob Burr's typical faith-based, recover",15.97,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's Vet 2 (2019_07_29 16_12_18 UTC).pdf,,DUPLICATE_SKIPPED
Boost Your Imagination With These 4 Tricks,Boost Your Imagination With These 4 Tricks.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,article,An article or short guide focused on techniques to enhance creativity and imagination. The content appears to be general self-improvement material.,0.79,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Imagine/03-Branding/01-Articles/03-pages/Boost Your Imagination With These 4 Tricks.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Boost Your Imagination With These 4 Tricks.pages,COPIED
Brandon Hebster,Brandon Hebster.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A narrative about a young man's struggles with substance abuse, family relationships, and his journey toward recovery and redemption through faith and perseverance.",24.88,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Brandon Hebster.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Brandon Hebster.pdf,COPIED
Break Free From Labor Trap,BreakFreeFromLaborTrap.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to determine without seeing actual content,1.85,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/MentalLoadExpansionPack 2/07-BreakingFreeFromLaborTrap/01-BlogPost/BreakFreeFromLaborTrap.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/BreakFreeFromLaborTrap.docx,COPIED
Bull City Insurance,Bull City Insurance - 7-30-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,business document/notes,"This appears to be a business-related document about insurance, possibly notes or a business plan, dated July 30, 2020.",5.18,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Bull City Insurance - 7-30-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bull City Insurance - 7-30-20.pdf,COPIED
Butterflies,Butterflies.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze - no content provided from the document,1.65,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Butterflies/01-Premium/01-eBook/Butterflies.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Butterflies.pages,COPIED
Can I Ever Trust Again,CanIEverTrustAgain.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without access to actual document content,1.04,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/TrustAgain/02-LeadGen/01-Lead Gen Report/CanIEverTrustAgain.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/CanIEverTrustAgain.pages,COPIED
Can You Really Trust Again after Getting Burned,Can You Really Trust Again after Getting Burned.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (appears to be a book based on .pages format),Unable to provide description without access to actual content.,0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/TrustAgain/03-Branding/01-Articles/03-pages/Can You Really Trust Again after Getting Burned.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Can You Really Trust Again after Getting Burned.pages,COPIED
Can You Really Trust Again after Getting Burned,Can You Really Trust Again after Getting Burned.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without viewing the actual content,0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/TrustAgain/03-Branding/01-Articles/03-pages/Can You Really Trust Again after Getting Burned.pages,,DUPLICATE_SKIPPED
Can You Sniff Your Way to Reduced Anxiety,Can You Sniff Your Way to Reduced Anxiety.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (cannot determine without viewing content),Cannot determine the content or authorship without access to the actual document text.,0.79,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/BUNDLEReducingAnxiety 2/02-Articles/2-Pages/Can You Sniff Your Way to Reduced Anxiety.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Can You Sniff Your Way to Reduced Anxiety.pages,COPIED
Changing Gears - Rewiring Your Brain for Success with a Growth Mindset,Changing Gears - Rewiring Your Brain for Success with a Growth Mindset.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A book about developing a growth mindset for personal and professional success, focusing on neuroplasticity and mental transformation.",0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/SHAREABLEDevelopingAGrowthMindset/01-BlogPosts/03-PAGES/Changing Gears - Rewiring Your Brain for Success with a Growth Mindset.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Changing Gears - Rewiring Your Brain for Success with a Growth Mindset.pages,COPIED
Common Obstacles to Success (based on filename),CommonObstaclestoSuccess.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (cannot access file content),Unable to determine content or authorship without access to the actual text within the document.,0.76,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/StruggleSurvivalGuide1/03-Branding/01-Articles/03-pages/CommonObstaclestoSuccess.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/CommonObstaclestoSuccess.pages,COPIED
Compliance Report - 3-26-21,Compliance Report - 3-26-21.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other (appears to be a business report),"Based on the filename alone, this appears to be a business compliance report dated March 26, 2021, which could potentially be related to Bob Burr's business consulting work.",2.7,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Compliance Report - 3-26-21.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Compliance Report - 3-26-21.pdf,COPIED
Courage on the Battlefront,Courage on the Battlefront.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A book that appears to explore themes of courage in challenging circumstances, though the limited sample makes it difficult to determine the specific context or whether it aligns with Bob Burr's typic",6.93,,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Courage on the Battlefront.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Courage on the Battlefront.pdf,COPIED
Cryptocurrency - Recommended Coins and Purposes,Cryptocurrency - Recommended Coins and Purposes.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,article/guide,"A guide or informational document about cryptocurrency, focusing on recommended coins and their purposes/use cases.",0.88,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Cryptocurrency - Recommended Coins and Purposes.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Cryptocurrency - Recommended Coins and Purposes.docx,COPIED
Dare To Be Uncommon,DareToBeUncommon.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (unable to read file),Unable to analyze content due to file format limitations,0.95,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/01-Premium/01-Ebook/DareToBeUncommon.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DareToBeUncommon.pages,COPIED
Dare To Be Uncommon (based on filename),DareToBeUncommonEnhancedPagesFriendly.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without seeing actual content,1.58,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/01-Premium/03-Enhanced eBook/DareToBeUncommonEnhancedPagesFriendly.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DareToBeUncommonEnhancedPagesFriendly.docx,COPIED
Dare To Be Uncommon Enhanced,DareToBeUncommonEnhanced.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without access to the document content.,1.59,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DareToBeUncommon/01-Premium/03-Enhanced eBook/DareToBeUncommonEnhanced.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DareToBeUncommonEnhanced.docx,COPIED
Day 2 - Recharge Your Life Challenge,Day 2 - Recharge Your Life Challenge.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (possibly challenge/course material),Cannot determine without seeing actual content. The title suggests it may be part of a multi-day challenge or program focused on life improvement.,0.84,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Thrive/02-Lead Generation/02-ChallengeKit/01-Lessons/Day 2 - Recharge Your Life Challenge.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Day 2 - Recharge Your Life Challenge.docx,COPIED
Deep Dark Secret Stuff,DDSS - Herbster - 6-16-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A book that appears to explore themes of overcoming personal struggles, secrets, and shame through faith-based perspectives, with chapters on topics like freedom, forgiveness, and healing.",1.3,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/DDSS - Herbster - 6-16-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DDSS - Herbster - 6-16-20.pdf,COPIED
Develop Grit,Develop Grit.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content. Only filename is available.,0.68,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Archive 3/Grit-PLR/Word/Develop Grit.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Develop Grit.docx,COPIED
Digital Grandpa's Complete 5-Volume Anthology: Rising Strong,Digital-Grandpas-Complete-5-Volume-Anthology-Rising-Strong.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,PLR content or purchased content,"This appears to be a self-help anthology focused on recovery and resilience, but the writing style and content structure suggest it may be PLR (Private Label Rights) content or purchased/rebranded mat",25.42,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Digital-Grandpas-Complete-5-Volume-Anthology-Rising-Strong.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Digital-Grandpas-Complete-5-Volume-Anthology-Rising-Strong.pdf,COPIED
Digital Grandpa's Complete 5-Volume Anthology: Rising Strong,Digital-Grandpas-Complete-5-Volume-Anthology-Rising-Strong.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A comprehensive self-help anthology focused on recovery, resilience, and rebuilding life after hardship, written from the perspective of ""Digital Grandpa"" who shares wisdom from counseling Marines, ad",22.9,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Digital-Grandpas-Complete-5-Volume-Anthology-Rising-Strong.pdf,,DUPLICATE_SKIPPED
Discovering Your True North - What You Actually Want,Discovering-Your-True-North-What-You-Actually-Want.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A self-help book about finding authentic purpose and desires after major setbacks, emphasizing the importance of distinguishing between personal wants and external expectations during life rebuilding.",7.9,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Discovering-Your-True-North-What-You-Actually-Want.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Discovering-Your-True-North-What-You-Actually-Want.pdf,COPIED
DistractionsThatStealYourProductivity (based on filename),DistractionsThatStealYourProductivity.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without access to file content,0.73,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/TuneOut/03-Branding/01-Articles/03-pages/DistractionsThatStealYourProductivity.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DistractionsThatStealYourProductivity.pages,COPIED
Do This to Get Rid of Unnecessary Things,Do This to Get Rid of Unnecessary Things.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (appears to be a Pages document but cannot determine type without content),Cannot provide description without access to the actual content of the document,0.79,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Elimination/03-Branding/01-Articles/03-pages/Do This to Get Rid of Unnecessary Things.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Do This to Get Rid of Unnecessary Things.pages,COPIED
"Early Bird Session - January 26, 2018",7fc-earlybird-session-jan26-2018-final2 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Training presentation/webinar slides,"This appears to be a presentation or webinar training material about Amazon FBA (Fulfillment by Amazon) business, covering topics like setting up Seller Central accounts and addressing common pain poi",45.52,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Full-Time FBA/TWF Training/7FC Folder/7fc-earlybird-session-jan26-2018-final2 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/7fc-earlybird-session-jan26-2018-final2 (2019_07_29 16_12_18 UTC).pdf,COPIED
Echoes of Melchior's Imagination and Other Tales,Echoes of Melchior’s Imagination and Other Tales.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze content due to blank/empty pages in the provided sample.,19.24,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Echoes of Melchior’s Imagination and Other Tales.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Echoes of Melchior’s Imagination and Other Tales.pdf,COPIED
Echoes of Melchior's Imagination and Other Tales,Echoes of Melchior’s Imagination and Other Tales.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,A collection of tales with a fantastical or imaginative title that doesn't align with Bob Burr's typical faith-based recovery and entrepreneurship themes.,0.96,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Echoes of Melchior’s Imagination and Other Tales.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Echoes of Melchior’s Imagination and Other Tales.docx,COPIED
Electronically Driven Choices Cause A Lot Of Modern-Day Anxiety,Electronically Driven Choices Cause A Lot Of Modern-Day Anxiety.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (likely article or book chapter),Unable to determine without seeing the actual content. The title suggests it may address modern anxiety issues related to technology and decision-making.,0.78,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/BUNDLEReducingAnxiety 2/02-Articles/2-Pages/Electronically Driven Choices Cause A Lot Of Modern-Day Anxiety.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Electronically Driven Choices Cause A Lot Of Modern-Day Anxiety.pages,COPIED
